nombre,norte,este,elevacion
ET.01,1136.311,5000.000,98.130
ET.02,1136.370,5007.622,98.060
ET.03,1092.296,5008.840,98.286
ET.04,1089.276,5000.777,98.375
ET.05,1032.061,5008.581,99.810
ET.06,1032.068,5001.332,99.793
ET.07,1032.055,5004.932,99.824
ET.08,1000.637,5004.871,99.824
ET.09,972.000,5008.543,99.796
ET.10,972.007,5000.824,99.787
ET.11,971.982,5004.765,99.812
ET.12,864.975,5017.011,97.646
ET.13,858.218,5009.619,97.682
ET.14,911.950,5005.608,98.118
ET.15,965.213,4990.510,98.559
ET.16,972.459,4983.544,94.313
ET.17,1027.304,4980.020,93.346
ET.18,1038.206,4990.972,98.596
