nombre,lat,lon,h
01,-34.56285135,-58.65061468,22.644
02,-34.56283684,-58.65053598,22.479
03,-34.56322093,-58.65041159,22.729
04,-34.56326427,-58.65048946,22.817
05,-34.56374949,-58.65026187,24.247
06,-34.56376454,-58.65033870,24.236
07,-34.56375718,-58.65030049,24.260
08,-34.56403288,-58.65022155,24.242
09,-34.56427628,-58.65011006,24.214
10,-34.56429242,-58.65019218,24.213
11,-34.56428443,-58.65015036,24.240
12,-34.56519692,-58.64974937,22.097
13,-34.56527155,-58.64981089,22.142
14,-34.56480887,-58.64998914,22.546
15,-34.56437342,-58.65028412,22.996
16,-34.56432457,-58.65037641,18.736
17,-34.56385096,-58.65055252,17.771
18,-34.56373255,-58.65046403,23.027
